nominal,data,curs,cdx
10,10/1/2022,29.8581,Турецкая лира
10,9/30/2022,31.0292,Турецкая лира
10,9/29/2022,31.6492,Турецкая лира
10,9/28/2022,31.5431,Турецкая лира
10,9/27/2022,31.5438,Турецкая лира
10,9/24/2022,31.6509,Турецкая лира
10,9/23/2022,32.6746,Турецкая лира
10,9/22/2022,33.2704,Турецкая лира
